 ,background,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor
background,141751295,332725,359275,255176,347223,408193,207446,305801,424626,439514,94000,537804,473137,207091,377685,1836146,413473,123539,545709,308857,555428
aeroplane,242980,1783611,37,23963,6537,0,0,130237,0,0,0,0,0,0,652,13857,0,0,0,11595,0
bicycle,298823,0,1844090,3712,1400,0,0,873,0,3544,0,0,0,0,10576,33178,4190,0,0,0,0
bird,307555,15723,0,1682533,81,63,0,0,6509,4605,55,0,65460,25292,0,54330,1394,12899,0,0,1268
boat,475395,21242,5972,7936,933930,88,199,4923,0,43428,0,0,0,0,0,8350,589,649,0,9982,0
bottle,231117,0,1358,0,1477,1004732,0,1344,0,107,503,23994,1430,1373,11026,107159,15120,0,0,3809,589
bus,150302,0,0,0,0,2972,2167576,4070,0,0,0,0,0,0,0,2222,136,0,0,451,24639
car,555184,24529,6121,0,64833,18378,189159,3490274,0,0,572,160,3069,637,61100,26953,169,0,869,32135,0
cat,337733,0,0,21174,0,0,0,0,6137097,0,0,0,349125,14,0,18309,26873,20768,12223,0,9958
chair,1105899,0,2140,95,19297,1432,430,1266,1781,877945,0,72012,8250,2596,0,92939,1447,0,173872,0,4778
cow,57263,0,0,30097,0,0,0,0,28675,0,798889,0,174782,3588,0,4591,0,89427,0,0,0
diningtable,403875,0,0,0,0,8609,0,0,3681,71511,0,1098623,0,0,0,55474,11827,0,276,0,0
dog,443048,0,0,26112,0,8187,0,9450,419780,422,64104,235,4876351,4343,0,122402,0,46144,3655,0,0
horse,83818,3936,23,2400,0,0,0,0,0,4902,167683,0,111007,917251,1013,30079,0,25061,0,386,0
motorbike,240822,1,97937,0,10212,38012,0,76953,0,0,0,0,0,0,2366633,41448,11218,0,0,0,0
person,997009,5750,53714,1477,6330,53195,4653,48801,13351,18800,8425,56585,133967,46422,42059,12881032,920,871,56645,5949,241
pottedplant,400276,0,914,438,0,40467,0,0,0,696,0,8,2527,0,75482,10350,912419,0,28,0,40
sheep,96112,0,0,8605,0,0,0,0,371,0,24653,0,33406,92,0,10485,0,1302843,0,0,0
sofa,518040,0,0,0,0,0,0,0,495,114849,0,3647,1743,0,0,136314,29,0,1093817,0,0
train,437059,11766,0,0,12113,0,17363,3658,0,0,2239,0,0,0,10398,16937,0,0,0,2221226,0
tvmonitor,295038,0,0,0,0,43350,59769,3214,11,44684,0,0,0,0,0,978,0,0,2437,37789,1480702
